OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪,,,,,,,,,,,,
1,R25,關渡站,0.53842839,0.494622554,0.465195018,1,0.415436726,0.783540606,1,0.504656467,0.600268537,2,450630.1393,,,,,,,,,,,,
2,R24,昆陽站,0.597570529,0.744783626,0.533675835,1,0.879914609,0.868153117,1,0.730440516,0.764934033,5,794720.3261,,,,,,,,,,,,
3,R22A,萬芳社區站,0.061227979,0.10091981,0.763849944,1,0.888102587,0.832753882,1,0.219139103,0.552284758,7,598412.7027,,,,,,,,,,,,
4,R22,北投站,0.809340573,0.717518792,0.618697382,1,0.851341264,0.881236599,1,0.704031115,0.797452246,30,961596.0882,,,,,,,,,,,,
5,R21,忠孝復興站,0.86240429,0.951248565,0.639024972,1,0.784989384,0.899280081,1,0.945335626,0.86889756,62,1406620.594,,,,,,,,,,,,
6,R20,國父紀念館,0.779915741,0.923958465,0.77115635,1,0.80206782,0.696976778,1,0.915397257,0.841353202,9,1156092.915,,,,,,,,,,,,
7,R19,行天宮站,0.839155037,0.93444411,0.799299162,1,0.963331939,0.850922613,1,0.926844467,0.901999618,14,829174.7569,,,,,,,,,,,,
8,R18,東門站,0.948617171,0.890369506,0.849129233,1,0.747010866,0.885254501,1,0.879196648,0.885653989,20,1154731.213,,,,,,,,,,,,
9,R17,信義安和站,0.727456407,0.881234053,0.82716892,1,0.639384693,0.918212513,1,0.869473998,0.837561512,44,1081163.3,,,,,,,,,,,,
10,R14,新北投站,0.860535023,0.672357329,0.548671623,1,1,0.992291104,1,0.661273564,0.819304092,31,584407.0802,,,,,,,,,,,,
11,R15,劍潭站,0.506676503,0.965804456,0.948399833,1,0.963436688,0,1,0.961497891,0.76368791,8,908651.2588,,,,,,,,,,,,
12,R16,士林站,0.899734307,0.945410659,0.896949469,1,0.963049086,0,1,0.938891391,0.806290702,5,772698.7877,,,,,,,,,,,,
13,R13 / O11,永春站,0.810418023,0.812970546,0,1,0.735367129,0.915623539,1,0.798476831,0.724693724,28,943096.5679,,,,,,,,,,,,
14,R12,雙連站,0.668354161,0.969780817,0.801981985,1,0.67274904,0.929937512,1,0.96593659,0.858391444,18,1012065.723,,,,,,,,,,,,
15,R09,台北101/世貿站,0.926049463,0.903874776,0.917756898,1,0.674660042,0.881454849,1,0.893666314,0.885351763,6,1508210.897,,,,,,,,,,,,
16,BR01,唭哩岸站,0.595404713,0.651516745,0.809432728,1,0.963478815,0.840780335,1,0.64195369,0.786081004,21,717445.969,,,,,,,,,,,,
17,BR02,木柵站,0.238531026,0.59780245,0.940179321,1,0.920904929,0.799289485,1,0.5933422,0.727149916,9,680962.2376,,,,,,,,,,,,
18,BR03,萬芳醫院站,0.569114328,0.32001448,0.793019983,1,0.971049197,0.935043078,1,0.368084587,0.708046522,17,841346.834,,,,,,,,,,,,
