OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪,,,,,,,,,,,,
19,BR04,萬隆站,0.614540264,0.627870177,0.679708682,0.753237976,0.901837693,0.929993217,1,0.620344401,0.767756348,20,637264.6973,,,,,,,,,,,,
20,BR05,奇岩站,0.656686413,0.710535562,0.93627789,1,0.899731214,0.9259401,1,0.697339408,0.832358655,3,554137.4542,,,,,,,,,,,,
21,BR06,麟光站,0.374866077,0.181077673,0.778352006,1,0.728237707,0.683550631,1,0.270874047,0.573851163,33,816861.8904,,,,,,,,,,,,
22,BR07,六張犁站,0.773470286,0.823469963,0.231475285,1,0.544939543,0.938717858,1,0.809207749,0.731611526,30,888194.2722,,,,,,,,,,,,
23,BR08,動物園站,0,0.666712532,0.771435637,0.507052329,0,0.214109105,1,0.656015135,0.472610344,0,,,,,,,,,,,,,
24,R05 / BR09,大安站,0.627200061,0.867493303,0.19520702,1,0.937958276,0.89862566,1,0.854948827,0.768776164,17,1199821.542,,,,,,,,,,,,
25,BR12,中山國中站,0.779676918,0.901398792,0.62234063,1,0.921945631,0.900175214,1,0.891004908,0.859506013,18,781066.9279,,,,,,,,,,,,
26,BL22,南港軟體園區站,0.503143519,0.897155651,0.384529536,1,0.348094359,0.961126981,1,0.886453004,0.711500436,18,1010869.087,,,,,,,,,,,,
27,BL21,明德站,0.875721734,0.569487944,0.684870455,1,0.9250172,0.738580252,1,0.568396409,0.766010571,17,742377.2847,,,,,,,,,,,,
28,BL20,科技大樓站,0.850280018,0.978684036,0.603059938,1,0.768143898,0.964555729,1,0.975911649,0.87723361,30,1113690.481,,,,,,,,,,,,
29,BL19,石牌站,0.648166706,0.715236248,0.732024504,1,0.930944219,0.918708322,1,0.701840619,0.806702945,19,827239.0246,,,,,,,,,,,,
30,BL18,民權西路站,0.719283252,1,0.741589677,1,0.989251648,0.921594904,1,1,0.91024564,43,990651.6568,,,,,,,,,,,,
31,BL17,善導寺站,0.748821986,0.967566285,0.674052262,1,0.975789825,0.852250419,1,0.963463325,0.883134872,6,912038.0462,,,,,,,,,,,,
32,BL16,忠孝新生站,0.799048328,0.970636301,0.851022605,1,0.733580066,0.857469308,1,0.966892862,0.88266421,9,1144278.227,,,,,,,,,,,,
33,BL15 / BR10,忠孝敦化站,0.689939319,0.978221246,0.807660419,1,0.936885587,0.949065614,1,0.975391893,0.905309154,23,1184646.452,,,,,,,,,,,,
34,G08,市政府站,0.933985842,0.912155732,0.674483766,1,0.371194685,0.924168173,1,0.902595553,0.816940536,11,1192096.52,,,,,,,,,,,,
35,G05,港墘站,1,0.971457257,0.991732983,1,0.755679301,0.997361295,1,0.96781098,0.954863117,10,791692.395,,,,,,,,,,,,
36,BL10,龍山寺站,0.984805103,0.92787202,0.994374167,1,0.996659899,1,1,0.919661538,0.974767533,7,613575.2643,,,,,,,,,,,,
37,BL13,復興崗站,0.268091694,0,0.071571228,0.767638105,0.848621322,0.737403134,0,0,0.275098197,4,451744.6054,,,,,,,,,,,,
38,G11,小南門站,0.63837588,0.92157672,0.839765417,1,0.481261882,0.895874186,1,0.912806818,0.8128087,2,909849.2684,,,,,,,,,,,,
39,R08 / G10,中正紀念堂,0.671421752,0.969040647,0.901636633,1,0.736490097,0.850349338,1,0.965109594,0.870578294,5,1039390.842,,,,,,,,,,,,
40,G09 / O05,古亭站,0.817771341,0.970897118,0.993750288,1,0.955759509,0.886035016,1,0.967184501,0.941628253,41,1258780.411,,,,,,,,,,,,
41,BL14 / O07,忠義站,0.491446558,0.007202822,0.506504968,1,0.82156399,0.782804624,1,0.162481747,0.538857816,3,402667.0491,,,,,,,,,,,,
42,BL12 / R10,台電大樓站,0.864566077,0.872178596,0.812120156,1,0.931570201,0.825951529,1,0.859888276,0.880896405,17,1156014.903,,,,,,,,,,,,
43,BL11 / G12,西湖站,0.860723942,0.871123123,0.783982372,1,0.546712018,0.941684233,1,0.858774346,0.837571434,7,688007.9047,,,,,,,,,,,,
44,BL23 / BR24,南港站,0.73229217,0.801907232,0.364074004,0.774296683,0.226936506,0.925073283,1,0.787243467,0.691075237,1,914161.4181,,,,,,,,,,,,
45,BR14,大直站,0.856547365,0.890856087,0.66243552,1,0.731175946,0.929885464,1,0.879715978,0.850088051,12,899461.6466,,,,,,,,,,,,
46,BR16,辛亥站,0.315376494,0.020812088,0.442946399,1,0.754473597,0.824219854,1,0.170460353,0.504041255,6,791663.7702,,,,,,,,,,,,
47,BR17,象山站,0.67913274,0.837817915,0.961088285,1,0.681270208,0.929808711,1,0.823982772,0.844728662,9,1292352.397,,,,,,,,,,,,
48,BR18,文德站,0.807763944,0.732835239,0.795942092,1,0.871731881,0.77437086,1,0.71881148,0.814493642,13,896963.3269,,,,,,,,,,,,
49,BR19,內湖站,0.947122586,0.781684864,0.938841007,1,0.856037561,0.849282982,1,0.766905555,0.877124937,21,844598.2723,,,,,,,,,,,,
50,BR20,大湖公園站,0.528250418,0.605711878,0.430738616,1,0.828642301,0.733985161,1,0.600393932,0.675388901,4,823152.0873,,,,,,,,,,,,
51,BR21,臺大醫院站,0.834523996,0.764472425,0.579695333,1,0.849187114,0.784350735,1,0.74979288,0.79457464,0,,,,,,,,,,,,,
52,BR22,松山站,0.763026507,0.899744163,0.845673401,1,0.928801938,0.995651933,1,0.889228525,0.903160924,12,968494.3794,,,,,,,,,,,,
53,BR23,後山埤站,0.979864502,0.961063574,0.929557459,1,0.883031593,0.94127682,1,0.956218969,0.950144702,34,1088369.638,,,,,,,,,,,,
54,G06,葫洲站,0.640640969,0.671134103,0.715319191,1,0.801609047,0.873319821,1,0.66013245,0.766022226,20,839386.2908,,,,,,,,,,,,
55,G07,公館站,0.77833686,0.947752734,0.485386666,1,0.935101675,0.749418892,1,0.94147411,0.83392442,10,964150.504,,,,,,,,,,,,
56,R23,景美站,0.943434548,0.628097546,0.900132535,1,0.946354939,0.919369072,1,0.62055061,0.851134179,22,731675.7893,,,,,,,,,,,,
57,O09,西門站,0.747153105,0.856002932,1,1,0.884766629,0.785745716,1,0.842893396,0.87379454,7,1075028.751,,,,,,,,,,,,
58,O10,中山國小站,0.961831176,0.950305124,0.80155972,1,0.996044223,0.868424376,1,0.944292729,0.931779621,43,792912.7069,,,,,,,,,,,,
59,BR13,松江南京站,0.887110762,0.985538391,0.907207341,1,0.843774105,0.893536393,1,0.983625733,0.928684675,24,1033423.022,,,,,,,,,,,,
60,O12,大橋頭站,0.68376534,0.88212258,0.874177639,1,0.991576168,0.896631281,1,0.870417334,0.885527192,14,771581.0499,,,,,,,,,,,,
61,R07 / O06,東湖站,0.495983528,0.6950177,0.56810284,1,0.955803582,0.958121758,1,0.682574604,0.765086287,25,726921.9877,,,,,,,,,,,,
62,BR15,劍南路站,0.855591317,0.8954638,0.462831569,0.651991555,0.878587668,0.945857321,1,0.884641209,0.846138983,4,993233.0166,,,,,,,,,,,,
63,R03,台北小巨蛋站,0.785381841,0.849668982,0.868752803,1,0.663831951,0.901021119,1,0.836283282,0.843562854,22,1144735.551,,,,,,,,,,,,
64,R06,大安森林公園站,0.831285336,0.941353685,0.969434037,1,0.467503299,0.891817357,1,0.934425832,0.862259935,9,1263525.07,,,,,,,,,,,,
65,R04,南京三民站,0.939748659,0.921137501,0.757390579,1,0.839421732,0.977640432,1,0.912329506,0.906809773,36,908566.4073,,,,,,,,,,,,
66,R02,圓山站,0.538526792,0.95745322,0.977865002,1,0.707362051,0.907931132,1,0.952208498,0.863049528,2,819884.9323,,,,,,,,,,,,
67,G16 / BR11,南港展覽館站,0.579833611,0.892668874,0.475700721,1,0.749542347,0.98209804,1,0.881652089,0.794499383,9,792406.5989,,,,,,,,,,,,
68,G15 / O08,芝山站,0.730472578,0.903717727,0.73142386,1,0.779770546,0.041668903,1,0.893497389,0.725793,16,755071.2341,,,,,,,,,,,,
69,G19,松山機場站,0.660205317,0.673177283,0.336770228,0,0.102339151,0.688597772,0.663119082,0.617676383,0.534555031,2,822595.875,,,,,,,,,,,,
70,G18,南京復興站,0.860189856,0.906820883,0.95773015,1,0.931293106,0.965273547,1,0.896838092,0.931163662,18,974283.0004,,,,,,,,,,,,
71,G17,台北車站,0.871255351,0.795986177,0.568953405,1,0.898421282,0.784868824,1,0.781262476,0.814392502,7,908991.1276,,,,,,,,,,,,
72,G13,北門站,0.647733954,0.842396182,0.854276707,1,0.867914577,0.855036386,1,0.828724284,0.842297441,8,770895.9663,,,,,,,,,,,,
73,R11 / G14,中山站,0.942404654,0.917205671,0.979841256,1,0.599369279,0.957304453,1,0.908062116,0.900598204,13,1072635.763,,,,,,,,,,,,
