OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪
1,R25,關渡站,0.815015251,0.369001866,0.646989486,1,0.184430924,0.829355057,0.343300254,0.811350187,62.01981859,4,523319.8151
2,R24,忠義站,0.179874183,0.218747998,0.007795914,1,0.106705361,0.483602501,0.885133236,0.721836809,53.89149011,2,392176.8448
3,R22A,新北投站,0.933578593,0.658021349,0.908041342,1,0.855726984,0.86549435,0.495417709,0.87971511,77.45895842,11,712607.3184
4,R22,北投站,0.984379798,0.948763354,0.724288532,1,0.538905191,0.305462465,0.598239003,0.789554804,68.4228765,5,687088.4512
5,R21,奇岩站,0.860628016,0.511197262,0.564144844,1,0.47269162,0.526204296,0.655538826,0.779652405,65.16799967,4,602611.3574
6,R20,唭哩岸站,0.76032135,0.462863057,0.649040958,1,0.769089328,0.366177427,0.221350504,0.435240583,63.61586556,9,728819.7389
7,R19,石牌站,0.802912409,0.664710702,0.706560398,1,0.766807885,0.709252454,0.278046054,0.423193226,67.23606677,3,792542.4556
8,R18,明德站,0.837122591,0.561920934,0.880970512,1,0.855429694,0.486434787,0.199860946,0.682963316,70.54792398,9,740707.4102
9,R17,芝山站,0.87566313,0.977890495,0.715586671,1,0.85474368,0.309596365,0.337754323,0.661479469,70.09677909,9,830631.3738
10,R14,圓山站,0.941307604,0.910340701,0.289630733,1,0.260476414,0.631707244,0.686585725,0.615362642,62.19560815,4,888684.4785
11,R15,劍潭站,0.708111901,0.979450978,0.408700589,1,0.385571731,0.615019515,0.484430724,0.290914149,59.46114878,11,868367.6362
12,R16,士林站,0.960420569,1,0.946108573,1,0.390831972,0.840531139,0.661380735,0.922916548,73.79783179,2,1041769.135
13,R13 / O11,民權西路站,0.983452438,0.996273869,0.721067906,1,0.799148139,0.845695642,0.93067286,0.879092809,79.98947512,12,737904.717
14,R12,雙連站,0.811730297,0.953915947,0.740509612,1,1,0.860806751,0.33574017,0.869557869,77.59744205,16,802675.8475
15,R09,台大醫院站,0.941850599,0.872257412,0.549596249,1,0.116679511,0.846341188,0.776732459,0.890661113,67.00857916,,
16,BR01,動物園站,0.389474978,0.727617184,0.025311218,1,0.063024292,0.602314334,0.337754323,0.482971693,50.7850528,,
17,BR02,木柵站,0.300210067,0.154424889,0.161202551,1,0.151096926,0.858628246,0.509351543,0.227872789,51.71222874,4,731270.9104
18,BR03,萬芳社區站,0.070951513,0,0.330352275,1,0.240887582,1,0.776487846,0.044176164,54.72911168,1,784376.8301
19,BR04,萬芳醫院站,0.461520231,0.320682477,0.579698318,1,0.625814879,0.892733905,0.279563334,0.529704398,62.53786783,2,807990.0523
