OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪
45,BR14,大直站,0.924514781,0.920402547,0.876339501,1,0.617202588,0.476492879,0.009372508,0.554971628,66.67119437,48,1080115.047
46,BR16,西湖站,0.900030246,0.883323705,0.482633378,1,0.464135819,0.8024311,0.77818744,0.836193214,68.41282412,19,614075.9528
47,BR17,港墘站,0.930547807,0.979092312,0.803827792,1,0.723490875,0.711751113,0.185031472,0.894097641,71.85458578,20,779547.7619
48,BR18,文德站,0.648942293,0.744254807,0.675716934,1,0.594204015,0.531342656,0.384505016,0.344787565,62.16025402,21,710047.734
49,BR19,內湖站,0.680331926,0.775641751,0.70278787,1,0.838855175,0.510466633,0.720993449,0.624210858,69.80171876,67,749433.4506
50,BR20,大湖公園站,0.385445902,0.665476433,0.581247347,1,0.308561173,0.28321723,0.18843742,0.452010847,54.37514765,14,616937.1804
51,BR21,葫洲站,0.500025839,0.564459387,0.416248876,1,0.352123815,0.240817639,0.115091012,0.537209627,53.85598259,71,771914.97
52,BR22,東湖站,0.787751198,0.82464991,0.509121913,0.993317357,0.70319463,0.714018896,0.884080314,0.573731127,69.19265052,45,705047.3026
53,BR23,南港軟體園區站,0.895804051,0.921548638,0.170355426,0.967614645,0.492282435,0.724418804,0.809804588,0.746197062,65.4944064,55,900898.8522
54,G06,萬隆站,0.736399972,0.693659926,0.692479387,1,0.470495624,0.316095586,0.475050534,0.683126076,62.52045446,50,646969.4434
55,G07,公館站,0.522463751,0.876703482,0.32284279,1,0.205632174,0.745477402,0.300638574,0.63771619,57.03603296,13,914765.472
56,R23,復興崗站,0,0.176941328,0.009826031,0,0.179871157,0.263107335,0.560325226,0.141280166,38.98858144,18,523879.9629
57,O09,行天宮站,0.916654316,0.931004872,0.746249528,1,0.857269013,0.696343388,0.485570116,0.928024173,74.56351376,37,847323.631
58,O10,中山國小站,0.973020937,0.96705703,0.754436246,1,0.899910554,0.705776964,0.590292093,0.889232118,76.38030137,92,726127.6501
59,BR13,松山機場站,0.680588655,0.827162779,0.175756643,0.185852954,0.399698035,0.553128262,0.343787598,0.873179304,52.29073383,1,676360.3052
60,O12,大橋頭站,0.984922871,0.952013299,0.918893892,1,0.912290527,0.858592586,0.714432364,0.894582679,80.39957929,50,783388.4121
61,R07 / O06,東門站,0.934533297,0.872220465,0.761294836,1,0.753484513,0.556174355,0.849884863,0.929386513,74.80422967,38,1140380.91
62,BR15,劍南路站,0.895514867,0.90997011,0.627517611,0.812615823,0.85125307,0.553172491,1,0.856788772,74.19370492,25,733597.96
63,R03,台北101/世貿站,0.98896133,0.950243307,0.903001433,1,0.739656163,0.834033853,0.704070651,0.985716527,77.96048689,12,1191941.053
64,R06,大安森林公園站,0.897100525,0.913548235,0.812281374,1,0.727007106,0.37311727,0.967409532,0.862130927,74.45633205,9,1049082.789
65,R04,信義安和站,0.96036785,0.970389279,0.881806978,1,0.666640125,0.834724702,0.014930319,0.928411361,72.61091365,57,1003210.788
66,R02,象山站,0.522236554,0.721934343,0.634063837,1,0.529278547,0.541340107,0.05155739,0.826163059,61.53642358,22,1076061.084
67,G16 / BR11,南京復興站,0.947324047,0.911708411,0.800722523,1,0.880275114,0.775635695,0.711534122,0.960577314,77.93794592,48,1042089.318
68,G15 / O08,松江南京站,0.925609047,0.975923216,0.912208978,1,0.870371513,0.730058313,0.616819061,0.954306225,78.10526467,47,986010.1754
69,G19,松山站,0.908557136,0.947886136,0.835631418,1,0.7411263,0.774728096,0.629042548,0.790863733,74.15586516,31,816511.7025
70,G18,南京三民站,0.931624738,0.938733936,0.820653482,1,0.701277374,0.672205111,0.394705149,0.899905542,72.29717361,75,816638.5934
71,G17,台北小巨蛋站,0.796137866,0.849224352,0.748161276,1,0.758680358,0.457453466,0.27258733,0.965288002,69.59332604,45,1237115.266
72,G13,北門站,0.969931134,0.89908337,0.549745017,1,0.571586943,0.86344852,0.206909951,0.801756289,67.77550123,7,811267.5801
73,R11 / G14,中山站,0.925532144,0.83078226,0.945384247,1,0.897783587,0.883827169,0.248299436,0.956840988,77.46794289,27,1072026.77
